url,label
123rf.com,0
20minutos.es,0
3ds.com,0
4shared.com,0
abc.es,0
abc.net.au,0
abcnews.go.com,0
about.com,0
aboutads.info,0
abril.com.br,0
academia.edu,0
accounts.google.com,0
addthis.com,0
addtoany.com,0
adobe.com,0
ads.google.com,0
adssettings.google.com,0
afternic.com,0
airbnb.com,0
akamaihd.net,0
alicdn.com,0
aliexpress.com,0
amazon.ca,0
amazon.co.jp,0
amazon.co.uk,0
amazon.com,0
amazon.de,0
amazon.es,0
amazon.fr,0
amazon.it,0
amazonaws.com,0
ameblo.jp,0
amzn.to,0
android.com,0
answers.com,0
aol.com,0
apache.org,0
apple.com,0
archive.org,0
aruba.it,0
arxiv.org,0
as.com,0
asahi.com,0
asus.com,0
automattic.com,0
azurefd.net,0
bandcamp.com,0
barnesandnoble.com,0
bbc.co.uk,0
bbc.com,0
behance.net,0
bfmtv.com,0
bild.de,0
bing.com,0
bit.ly,0
blackberry.com,0
bloglovin.com,0
bloomberg.com,0
booking.com,0
books.google.com,0
bp.blogspot.com,0
bp0.blogger.com,0
bp1.blogger.com,0
bp2.blogger.com,0
brandbucket.com,0
britannica.com,0
business.google.com,0
businessinsider.com,0
buydomains.com,0
buzzfeed.com,0
ca.gov,0
calameo.com,0
cambridge.org,0
canada.ca,0
canva.com,0
cbc.ca,0
cbslocal.com,0
cbsnews.com,0
cdc.gov,0
change.org,0
chaturbate.com,0
clarin.com,0
clickbank.net,0
cloudflare.com,0
cnbc.com,0
cnet.com,0
cnil.fr,0
cnn.com,0
code.google.com,0
cointernet.com.co,0
cornell.edu,0
correios.com.br,0
corriere.it,0
cpanel.com,0
cpanel.net,0
creativecommons.org,0
cutt.ly,0
dailymail.co.uk,0
dailymotion.com,0
dailystar.co.uk,0
dan.com,0
de.wikipedia.org,0
deezer.com,0
dell.com,0
detik.com,0
developers.google.com,0
discord.com,0
discord.gg,0
disqus.com,0
docs.google.com,0
doi.org,0
domainmarket.com,0
doubleclick.net,0
dovendi.com,0
draft.blogger.com,0
dreamstime.com,0
dribbble.com,0
drive.google.com,0
dropbox.com,0
dropcatch.com,0
dw.com,0
ea.com,0
ebay.co.uk,0
ebay.com,0
economist.com,0
ehow.com,0
elmundo.es,0
elpais.com,0
en.wikipedia.org,0
enable-javascript.com,0
engadget.com,0
eonline.com,0
es.wikipedia.org,0
espn.com,0
estadao.com.br,0
europa.eu,0
eventbrite.com,0
example.com,0
expireddomains.com,0
express.co.uk,0
facebook.com,0
fandom.com,0
fb.com,0
fda.gov,0
feedburner.com,0
fifa.com,0
files.wordpress.com,0
finance.yahoo.com,0
firefox.com,0
focus.de,0
forbes.com,0
forms.gle,0
fortune.com,0
foxnews.com,0
fr.wikipedia.org,0
francetvinfo.fr,0
frontiersin.org,0
ft.com,0
g.co,0
geocities.com,0
get.google.com,0
getbootstrap.com,0
ggpht.com,0
github.com,0
gizmodo.com,0
globo.com,0
gmail.com,0
gnu.org,0
godaddy.com,0
gofundme.com,0
goo.gl,0
goodreads.com,0
google.ca,0
google.co.id,0
google.co.in,0
google.co.jp,0
google.co.uk,0
google.com.br,0
google.de,0
google.es,0
google.fr,0
google.it,0
google.nl,0
google.pl,0
google.ru,0
googleblog.com,0
googleusercontent.com,0
gravatar.com,0
greenpeace.org,0
groups.google.com,0
gstatic.com,0
guardian.co.uk,0
harvard.edu,0
hatena.ne.jp,0
hilton.com,0
hindustantimes.com,0
hm.com,0
hollywoodreporter.com,0
home.pl,0
hotmart.com,0
house.gov,0
hp.com,0
huawei.com,0
hubspot.com,0
huffingtonpost.com,0
huffpost.com,0
hugedomains.com,0
ibm.com,0
icann.org,0
id.wikipedia.org,0
ig.com.br,0
ign.com,0
ikea.com,0
imageshack.us,0
imdb.com,0
independent.co.uk,0
indiatimes.com,0
insider.com,0
instagram.com,0
instructables.com,0
intel.com,0
interia.pl,0
ipv4.google.com,0
issuu.com,0
istockphoto.com,0
it.wikipedia.org,0
itch.io,0
ja.wikipedia.org,0
jimdofree.com,0
jotform.com,0
kickstarter.com,0
kompas.com,0
latimes.com,0
lavanguardia.com,0
lazada.co.id,0
lefigaro.fr,0
legifrance.gouv.fr,0
lemonde.fr,0
leparisien.fr,0
lexpress.fr,0
line.me,0
linkedin.com,0
linktr.ee,0
list-manage.com,0
live.com,0
liveinternet.ru,0
loc.gov,0
m.wikipedia.org,0
mail.google.com,0
mail.ru,0
mailchi.mp,0
maps.google.com,0
marca.com,0
marketingplatform.google....,0
marketwatch.com,0
mashable.com,0
mdpi.com,0
mediafire.com,0
medium.com,0
mega.nz,0
merriam-webster.com,0
messenger.com,0
metro.co.uk,0
microsoft.com,0
mirror.co.uk,0
mit.edu,0
mozilla.com,0
mozilla.org,0
msn.com,0
my.yahoo.com,0
myaccount.google.com,0
mynavi.jp,0
myspace.com,0
mystrikingly.com,0
namebright.com,0
namecheap.com,0
nasa.gov,0
nationalgeographic.com,0
nature.com,0
naver.com,0
nbcnews.com,0
ndtv.com,0
netflix.com,0
netlify.app,0
netvibes.com,0
networkadvertising.org,0
news.com.au,0
news.google.com,0
news.yahoo.com,0
newsweek.com,0
newyorker.com,0
nginx.com,0
nginx.org,0
nhk.or.jp,0
nicsell.com,0
nih.gov,0
nintendo.com,0
npr.org,0
nydailynews.com,0
nymag.com,0
