url,label,A1,A2,A3,A4,A5,A6,A7,A8,A10,A11,A12,A14,A13,A15,A9,A16,A17,A25,A23,A18,A19,A20,A21,A22,A24
https://123rf.com,0,17,0,0,1,0,0,0,1,0,1,4,60,0,0,-1,-1,0,1,0.0,-1,-1,-1,-1,-1,-1
https://20minutos.es,0,20,0,0,1,0,0,0,1,0,1,4,60,0,0,-1,-1,1,1,0.0050933786078098,-1,-1,-1,-1,-1,-1
https://3ds.com,0,15,0,0,1,0,0,0,1,0,1,4,60,0,0,-1,-1,0,1,0.0,-1,-1,-1,-1,-1,-1
https://4shared.com,0,19,0,0,1,0,0,0,1,0,1,4,3600,0,0,-1,-1,0,1,0.0408163265306122,-1,-1,-1,-1,-1,-1
https://abc.es,0,14,0,0,1,0,0,0,1,0,1,4,300,0,0,-1,-1,0,1,0.0111731843575419,-1,-1,-1,-1,-1,-1
https://abc.net.au,0,18,0,0,2,0,0,0,1,0,1,1,20,0,0,-1,-1,1,1,0.0168067226890756,-1,-1,-1,-1,-1,-1
https://abcnews.go.com,0,22,0,0,2,0,0,0,1,0,1,4,60,0,0,-1,-1,0,1,0.0069444444444444,-1,-1,-1,-1,-1,-1
https://about.com,0,17,0,0,1,0,0,0,1,0,1,2,300,2,300,-1,-1,0,1,0.0,-1,-1,-1,-1,-1,-1
https://aboutads.info,0,21,0,0,1,0,0,0,1,0,1,3,300,3,300,-1,-1,0,1,0.1935483870967742,-1,-1,-1,-1,-1,-1
https://abril.com.br,0,20,0,0,2,0,0,0,1,0,1,1,111,0,0,-1,-1,0,1,0.0,-1,-1,-1,-1,-1,-1
https://academia.edu,0,20,0,0,1,0,0,0,1,0,1,4,60,0,0,-1,-1,1,1,0.0033222591362126,-1,-1,-1,-1,-1,-1
https://accounts.google.com,0,27,0,0,2,0,0,0,1,0,1,1,163,1,270,-1,-1,0,1,0.0,-1,-1,-1,-1,-1,-1
https://addtoany.com,0,20,0,0,1,0,0,0,1,0,1,2,300,2,300,-1,-1,0,1,0.0,-1,-1,-1,-1,-1,-1
https://adobe.com,0,17,0,0,1,0,0,0,1,0,1,2,20,2,20,-1,-1,0,1,0.0,-1,-1,-1,-1,-1,-1
https://ads.google.com,0,22,0,0,2,0,0,0,1,0,1,1,267,1,107,-1,-1,0,1,0.0635838150289017,-1,-1,-1,-1,-1,-1
https://adssettings.google.com,0,30,0,0,2,0,0,0,1,0,1,1,113,1,230,-1,-1,0,1,0.0,-1,-1,-1,-1,-1,-1
https://afternic.com,0,20,0,0,1,0,0,0,1,0,1,1,3600,0,0,-1,-1,0,1,0.0256410256410256,-1,-1,-1,-1,-1,-1
