url,label
123rf.com,0
20minutos.es,0
3ds.com,0
4shared.com,0
abc.es,0
abc.net.au,0
abcnews.go.com,0
about.com,0
aboutads.info,0
abril.com.br,0
academia.edu,0
accounts.google.com,0
addthis.com,0
addtoany.com,0
adobe.com,0
ads.google.com,0
adssettings.google.com,0
afternic.com,0
airbnb.com,0
akamaihd.net,0
alicdn.com,0
aliexpress.com,0
amazon.ca,0
amazon.co.jp,0
amazon.co.uk,0
amazon.com,0
amazon.de,0
amazon.es,0
amazon.fr,0
amazon.it,0
amazonaws.com,0
ameblo.jp,0
amzn.to,0
android.com,0
answers.com,0
aol.com,0
apache.org,0
apple.com,0
archive.org,0
aruba.it,0
arxiv.org,0
as.com,0
asahi.com,0
asus.com,0
automattic.com,0
azurefd.net,0
bandcamp.com,0
barnesandnoble.com,0
bbc.co.uk,0
bbc.com,0
behance.net,0
bfmtv.com,0
bild.de,0
bing.com,0
bit.ly,0
blackberry.com,0
bloglovin.com,0
bloomberg.com,0
booking.com,0
books.google.com,0
bp.blogspot.com,0
bp0.blogger.com,0
bp1.blogger.com,0
bp2.blogger.com,0
brandbucket.com,0
britannica.com,0
business.google.com,0
businessinsider.com,0
buydomains.com,0
buzzfeed.com,0
ca.gov,0
calameo.com,0
cambridge.org,0
canada.ca,0
canva.com,0
cbc.ca,0
cbslocal.com,0
cbsnews.com,0
cdc.gov,0
change.org,0
chaturbate.com,0
clarin.com,0
clickbank.net,0
cloudflare.com,0
cnbc.com,0
cnet.com,0
cnil.fr,0
cnn.com,0
code.google.com,0
cointernet.com.co,0
cornell.edu,0
correios.com.br,0
corriere.it,0
cpanel.com,0
cpanel.net,0
creativecommons.org,0
cutt.ly,0
dailymail.co.uk,0
dailymotion.com,0
dailystar.co.uk,0
dan.com,0
de.wikipedia.org,0
deezer.com,0
dell.com,0
detik.com,0
developers.google.com,0
discord.com,0
discord.gg,0
disqus.com,0
docs.google.com,0
doi.org,0
domainmarket.com,0
doubleclick.net,0
dovendi.com,0
draft.blogger.com,0
dreamstime.com,0
dribbble.com,0
drive.google.com,0
dropbox.com,0
dropcatch.com,0
dw.com,0
ea.com,0
ebay.co.uk,0
ebay.com,0
economist.com,0
ehow.com,0
elmundo.es,0
elpais.com,0
en.wikipedia.org,0
enable-javascript.com,0
engadget.com,0
eonline.com,0
es.wikipedia.org,0
espn.com,0
estadao.com.br,0
europa.eu,0
eventbrite.com,0
example.com,0
expireddomains.com,0
express.co.uk,0
facebook.com,0
fandom.com,0
fb.com,0
fda.gov,0
feedburner.com,0
fifa.com,0
files.wordpress.com,0
finance.yahoo.com,0
firefox.com,0
focus.de,0
forbes.com,0
forms.gle,0
fortune.com,0
foxnews.com,0
fr.wikipedia.org,0
francetvinfo.fr,0
frontiersin.org,0
ft.com,0
g.co,0
geocities.com,0
get.google.com,0
